"co_cid";"no_cid"
"X381";"Vítima de inundação - habitação coletiva"
"X382";"Vítima de inundação - escolas, outras instituições e áreas de administração pública"
"X383";"Vítima de inundação - área para a prática de esportes e atletismo"
"X384";"Vítima de inundação - rua e estrada"
"X385";"Vítima de inundação - áreas de comércio e de serviços"
"X386";"Vítima de inundação - áreas industriais e em construção"
"X387";"Vítima de inundação - fazenda"
"X388";"Vítima de inundação - outros locais especificados"
"X389";"Vítima de inundação - local não especificado"
"X39 ";"Exposição a outras forcas da natureza e às não especificadas"
"X390";"Exposição a out. forças da natureza e às ñ espec. - residência"
"X391";"Exposição a out. forças da natureza e às ñ espec. - habitação coletiva"
"X392";"Exposição a out. forças da natureza e às ñ espec. - escolas, out. instit. e áreas de admin. pública"
"X393";"Exposição a out. forças da natureza e às ñ espec. - área para a prática de esportes e atletismo"
"X394";"Exposição a out. forças da natureza e às ñ espec. - rua e estrada"
"X395";"Exposição a out. forças da natureza e às ñ espec. - áreas de comércio e de serviços"
"X396";"Exposição a out. forças da natureza e às ñ espec. - áreas industriais e em construção"
"X397";"Exposição a out. forças da natureza e às ñ espec. - fazenda"
"X398";"Exposição a out. forças da natureza e às ñ espec. - outros locais especificados"
"X399";"Exposição a out. forças da natureza e às ñ espec. - local não especificado"
"X40 ";"Envenenamento acidental p/ exposição a analgesicos antipiréticos e anti-reumáticos não-opiáceos"
"X400";"Envenen. acid. por expos. a analg., antipir. e anti-reum.- residência"
"X401";"Envenen. acid. por expos. a analg., antipir. e anti-reum.- habitação coletiva"
"X402";"Envenen. acid. por expos. a analg., antipir. e anti-reum.- esc., out. instit. e áreas de adm. púb."
"X403";"Envenen. acid. por expos. a analg., antipir. e anti-reum.- área p/prática esp. e atlet."
"X404";"Envenen. acid. por expos. a analg., antipir. e anti-reum.- rua e estrada"
"X405";"Envenen. acid. por expos. a analg., antipir. e anti-reum.- áreas de comér. e de serviços"
"X406";"Envenen. acid. por expos. a analg., antipir. e anti-reum.- áreas indus. e em construção"
"X407";"Envenen. acid. por expos. a analg., antipir. e anti-reum.- fazenda"
"X408";"Envenen. acid. por expos. a analg., antipir. e anti-reum.- outros locais especificados"
"X409";"Envenen. acid. por expos. a analg., antipir. e anti-reum.- local não especificado"
"X41 ";"Env acidental p/ exp anticonvulsivante sedativo hipnótico antiparkinsoniano psicotropico ncop"
"X410";"Envenen. acid. por expos a anticonv , sed, hipn, antiparkin e psic - residência"
"X411";"Envenen. acid. por expos a anticonv , sed, hipn, antiparkin e psic - habitação coletiva"
"X412";"Envenen. acid. por expos a anticonv , sed, hipn, antiparkin e psic - esc, out inst e áreas adm públ"
"X413";"Envenen. acid. por expos a anticonv , sed, hipn, antiparkin e psic - área p/prát. esporte/atletismo"
"X414";"Envenen. acid. por expos a anticonv , sed, hipn, antiparkin e psic - rua e estrada"
"X415";"Envenen. acid. por expos a anticonv , sed, hipn, antiparkin e psic - áreas de comércio e de serviços"
"X416";"Envenen. acid. por expos a anticonv , sed, hipn, antiparkin e psic - áreas industr e em construção"
"X417";"Envenen. acid. por expos a anticonv , sed, hipn, antiparkin e psic - fazenda"
"X418";"Envenen. acid. por expos a anticonv , sed, hipn, antiparkin e psic - outros locais especificados"
"X419";"Envenen. acid. por expos a anticonv , sed, hipn, antiparkin e psic - local não especificado"
"X42 ";"Envenenamento acidental p/ exposição a narcóticos e psicodislepticos (alucinógenos) ncop"
"X420";"Envenen. acid. por expos. a narc. e psicodislépt. - residência"
"X421";"Envenen. acid. por expos. a narc. e psicodislépt. - habitação coletiva"
"X422";"Envenen. acid. por expos. a narc. e psicodislépt. - escolas, out. instit. e áreas de admin. públ."
"X423";"Envenen. acid. por expos. a narc. e psicodislépt. - área para a prática de esportes e atletismo"
"X424";"Envenen. acid. por expos. a narc. e psicodislépt. - rua e estrada"
"X425";"Envenen. acid. por expos. a narc. e psicodislépt. - áreas de comércio e de serviços"
"X426";"Envenen. acid. por expos. a narc. e psicodislépt. - áreas industriais e em construção"
"X427";"Envenen. acid. por expos. a narc. e psicodislépt. - fazenda"
"X428";"Envenen. acid. por expos. a narc. e psicodislépt. - outros locais especificados"
"X429";"Envenen. acid. por expos. a narc. e psicodislépt. - local não especificado"
"X43 ";"Envenenamento acidental p/ exposição outras substâncias farmacológicas de ação sobre o sna"
"X430";"Envenen. acid. por expos a out subst farm de ação s/sist nerv aut - residência"
"X431";"Envenen. acid. por expos a out subst farm de ação s/sist nerv aut - habitação coletiva"
"X432";"Envenen. acid. por expos a out subst farm de ação s/sist nerv aut - esc, out inst e áreas adm públ"
"X433";"Envenen. acid. por expos a out subst farm de ação s/sist nerv aut - área p/prát esportes e atletismo"
"X434";"Envenen. acid. por expos a out subst farm de ação s/sist nerv aut - rua e estrada"
"X435";"Envenen. acid. por expos a out subst farm de ação s/sist nerv aut - áreas de comércio e de serviços"
"X436";"Envenen. acid. por expos a out subst farm de ação s/sist nerv aut - áreas industr. e em construção"
"X437";"Envenen. acid. por expos a out subst farm de ação s/sist nerv aut - fazenda"
"X438";"Envenen. acid. por expos a out subst farm de ação s/sist nerv aut - outros locais especificados"
"X439";"Envenen. acid. por expos a out subst farm de ação s/sist nerv aut - local não especificado"
"X44 ";"Envenenamento acidental p/ exposição outras drogas medicamentos e substâncias biológicas ne"
"X440";"Envenen. acid. por expos a out drogas, medic/subst biol ñ espec - residência"
"X441";"Envenen. acid. por expos a out drogas, medic/subst biol ñ espec - habitação coletiva"
"X442";"Envenen. acid. por expos a out drogas, medic/subst biol ñ espec - esc., out. inst. e áreas adm. púb."
"X443";"Envenen. acid. por expos a out drogas, medic/subst biol ñ espec - área p/prát. esportes e atletismo"
"X444";"Envenen. acid. por expos a out drogas, medic/subst biol ñ espec - rua e estrada"
"X445";"Envenen. acid. por expos a out drogas, medic/subst biol ñ espec - áreas de comércio e de serviços"
"X446";"Envenen. acid. por expos a out drogas, medic/subst biol ñ espec - áreas industriais e em construção"
"X447";"Envenen. acid. por expos a out drogas, medic/subst biol ñ espec - fazenda"
"X448";"Envenen. acid. por expos a out drogas, medic/subst biol ñ espec - outr. locais especificados"
"X449";"Envenen. acid. por expos a out drogas, medic/subst biol ñ espec - local não especificado"
"X45 ";"Envenenamento (intoxicação) acidental por e exposição ao álcool"
"X450";"Envenen. acid. por expos. ao álcool - residência"
"X451";"Envenen. acid. por expos. ao álcool - habitação coletiva"
"X452";"Envenen. acid. por expos. ao álcool - escolas, outras instituições e áreas d administração pública"
"X453";"Envenen. acid. por expos. ao álcool - área para a prática de esportes e atletismo"
"X454";"Envenen. acid. por expos. ao álcool - rua e estrada"
"X455";"Envenen. acid. por expos. ao álcool - áreas de comércio e de serviços"
"X456";"Envenen. acid. por expos. ao álcool - áreas industriais e em construção"
"X457";"Envenen. acid. por expos. ao álcool - fazenda"
"X458";"Envenen. acid. por expos. ao álcool - outros locais especificados"
"X459";"Envenen. acid. por expos. ao álcool - local não especificado"
"X46 ";"Envenenamento acidental p/ exposição a solventes orgânicos hidrocarbonetos halogenados evapores"
"X460";"Envenen. acid. por expos. a solv. org./hidrocarb. halog. e vapores - residência"
"X461";"Envenen. acid. por expos. a solv. org./hidrocarb. halog. e vapores - habitação coletiva"
"X462";"Envenen. acid. por expos. a solv. org./hidrocarb. halog. e vapores - escol, out inst e áreas adm púb"
"X463";"Envenen. acid. por expos. a solv. org./hidrocarb. halog. e vapores - área p/prát. esportes/atletismo"
"X464";"Envenen. acid. por expos. a solv. org./hidrocarb. halog. e vapores - rua e estrada"
"X465";"Envenen. acid. por expos. a solv. org./hidrocarb. halog. e vapores - áreas de comércio e de serviços"
"X466";"Envenen. acid. por expos. a solv. org./hidrocarb. halog. e vapores - áreas industriais e construção"
"X467";"Envenen. acid. por expos. a solv. org./hidrocarb. halog. e vapores - fazenda"
"X468";"Envenen. acid. por expos. a solv. org./hidrocarb. halog. e vapores - outros locais especificados"
"X469";"Envenen. acid. por expos. a solv. org./hidrocarb. halog. e vapores - local não especificado"
"X47 ";"Intoxicação acidental por e exposição a outros gases e vapores"
"X470";"Intoxicação acidental por e exposição a outros gases e vapores - residência"
"X471";"Intoxicação acidental por e exposição a outros gases e vapores - habitação coletiva"
"X472";"Intoxicação acidental por e exposição a outros gases e vapores - escolas, out inst e áreas adm púb"
"X473";"Intoxicação acidental por e exposição a outros gases e vapores - área p/prát. esportes e atletismo"
"X474";"Intoxicação acidental por e exposição a outros gases e vapores - rua e estrada"
"X475";"Intoxicação acidental por e exposição a outros gases e vapores - áreas de comércio e de serviços"
"X476";"Intoxicação acidental por e exposição a outros gases e vapores - áreas industriais e em construção"
"X477";"Intoxicação acidental por e exposição a outros gases e vapores - fazenda"
"X478";"Intoxicação acidental por e exposição a outros gases e vapores - outros locais especificados"
"X479";"Intoxicação acidental por e exposição a outros gases e vapores - local não especificado"
"X48 ";"Envenenamento (intoxicação) acidental por e exposição a pesticidas"
"X480";"Envenenamento acidental por e exposição a pesticidas - residência"
"X481";"Envenenamento acidental por e exposição a pesticidas - habitação coletiva"
"X482";"Envenenamento acidental por e exposição a pesticidas - escol, out inst e áreas adm púb"
"X483";"Envenenamento acidental por e exposição a pesticidas - área p/prát. esportes e atletismo"
"X484";"Envenenamento acidental por e exposição a pesticidas - rua e estrada"
"X485";"Envenenamento acidental por e exposição a pesticidas - áreas de comércio e de serviços"
"X486";"Envenenamento acidental por e exposição a pesticidas - áreas industriais e em construção"
"X487";"Envenenamento acidental por e exposição a pesticidas - fazenda"
"X488";"Envenenamento acidental por e exposição a pesticidas - outros locais especificados"
"X489";"Envenenamento acidental por e exposição a pesticidas - local não especificado"
"X49 ";"Envenenamento acidental p/ exposição a outras substâncias quimicas nocivas e às não especificadas"
"X490";"Envenen. acid. por expos. out. subst. quím. nocivas e ñ espec. - residência"
"X491";"Envenen. acid. por expos. out. subst. quím. nocivas e ñ espec. - habitação coletiva"
